date,Principal Component 1,Principal Component 2
1962-03-01,1.141533141545965,-0.159778635030491
1962-04-01,0.5802873789526392,0.044750161677856344
1962-05-01,-0.09835375300654399,-0.028325207931417105
1962-06-01,0.09103964853690213,-0.07916707256111986
1962-07-01,-0.8973731772680917,0.2920356917420115
1962-08-01,0.6051377705071291,-0.11157281448394764
1962-09-01,0.3377403409963759,-0.3085922747950848
1962-10-01,0.497544801209688,-0.07044661077504324
1962-11-01,0.08289524629973179,0.09454091095961481
1962-12-01,0.33055786933221937,0.14089353495203563
1963-01-01,0.07539487823326427,0.09680360739759525
1963-02-01,-0.13443607123090276,-0.31894591941781203
1963-03-01,0.024339392591292034,-0.002387201795142656
1963-04-01,-0.25063707976676514,0.05807623739763689
1963-05-01,0.1628002766796393,0.10249769325524864
1963-06-01,-0.2990828073010804,-0.011964123735160268
