date,Feature 1,date
1975-08-01,-1.3545955628712163,1975-08-01
1975-09-01,-0.07347452324948621,1975-09-01
1975-10-01,1.467734607738063,1975-10-01
1975-11-01,0.7737039419705274,1975-11-01
1975-12-01,0.1774039079918481,1975-12-01
1976-01-01,1.4134492345923757,1976-01-01
1976-02-01,-0.09158818834235499,1976-02-01
1976-03-01,-0.02016376812572493,1976-03-01
1976-04-01,0.9550959303859818,1976-04-01
1976-05-01,-1.348331965063725,1976-05-01
1976-06-01,0.049120059693691924,1976-06-01
1976-07-01,0.6835501864772364,1976-07-01
1976-08-01,0.8309734076154578,1976-08-01
1976-09-01,0.9409688315371094,1976-09-01
1976-10-01,1.6073474373429724,1976-10-01
1976-11-01,1.069570472407697,1976-11-01
1976-12-01,2.2718177039367036,1976-12-01
1977-01-01,-2.413804559996065,1977-01-01
1977-02-01,-0.9337128522745708,1977-02-01
1977-03-01,-0.11280902066848991,1977-03-01
1977-04-01,0.6519345414532541,1977-04-01
1977-05-01,-0.8633911960509595,1977-05-01
1977-06-01,0.8608419607867462,1977-06-01
1977-07-01,-0.3336523887160536,1977-07-01
1977-08-01,-0.8930160148496172,1977-08-01
1977-09-01,0.017304633665864926,1977-09-01
1977-10-01,-1.2213372018448658,1977-10-01
1977-11-01,-0.006440504664217479,1977-11-01
1977-12-01,-0.2988286123375433,1977-12-01
1978-01-01,-1.1384269833761902,1978-01-01
1978-02-01,-0.17148761705304202,1978-02-01
1978-03-01,0.06468805019011574,1978-03-01
1978-04-01,-0.41033780107458023,1978-04-01
1978-05-01,-0.8062835470986573,1978-05-01
1978-06-01,-0.5976758360128904,1978-06-01
1978-07-01,-0.6696426054170467,1978-07-01
1978-08-01,0.7966008150488321,1978-08-01
1978-09-01,-0.26556473412841713,1978-09-01
1978-10-01,-0.8141295783469559,1978-10-01
1978-11-01,-1.1146449198257675,1978-11-01
1978-12-01,-0.7654358574529407,1978-12-01
1979-01-01,-0.29852249971050604,1979-01-01
1979-02-01,0.4006415293862826,1979-02-01
1979-03-01,-0.054593912562786555,1979-03-01
1979-04-01,0.010106477869090268,1979-04-01
1979-05-01,0.05680209798044084,1979-05-01
1979-06-01,1.557896231026028,1979-06-01
1979-07-01,0.028442340491378684,1979-07-01
1979-08-01,-0.520711016757981,1979-08-01
1979-09-01,-1.4264118250622664,1979-09-01
1979-10-01,-3.8765324538062287,1979-10-01
1979-11-01,-0.7212221895517561,1979-11-01
1979-12-01,1.2595519432162856,1979-12-01
1980-01-01,-0.7148972567421676,1980-01-01
1980-02-01,-5.146237293359062,1980-02-01
1980-03-01,-2.0819770372960416,1980-03-01
1980-04-01,4.218510248979586,1980-04-01
1980-05-01,5.684480294527646,1980-05-01
1980-06-01,2.26150182834383,1980-06-01
1980-07-01,-1.2419511837712498,1980-07-01
1980-08-01,-4.039295854783349,1980-08-01
1980-09-01,-2.1900159053160224,1980-09-01
1980-10-01,-0.9201421425806942,1980-10-01
1980-11-01,-2.904680466213954,1980-11-01
1980-12-01,-0.7837037853408849,1980-12-01
1981-01-01,1.3023005736826958,1981-01-01
1981-02-01,-1.4265536604118234,1981-02-01
1981-03-01,0.5156861014227061,1981-03-01
1981-04-01,-1.2862846578076876,1981-04-01
1981-05-01,-1.7367872736702779,1981-05-01
1981-06-01,1.7832470537824996,1981-06-01
1981-07-01,-1.7962092352676808,1981-07-01
1981-08-01,-1.5924267359679662,1981-08-01
1981-09-01,-0.4764032505457546,1981-09-01
1981-10-01,1.193310782163786,1981-10-01
1981-11-01,4.651229876565965,1981-11-01
1981-12-01,-0.7099201434556105,1981-12-01
1982-01-01,-2.430566760289569,1982-01-01
1982-02-01,0.1436733913899881,1982-02-01
1982-03-01,1.4193444869771528,1982-03-01
1982-04-01,0.07171419746566206,1982-04-01
1982-05-01,0.8568027646957932,1982-05-01
1982-06-01,-1.5275723014406464,1982-06-01
1982-07-01,1.1697579953263202,1982-07-01
1982-08-01,2.8304276961763413,1982-08-01
1982-09-01,1.8246085077804781,1982-09-01
1982-10-01,4.043912610641579,1982-10-01
1982-11-01,1.310170227150858,1982-11-01
1982-12-01,0.43091029971126804,1982-12-01
1983-01-01,0.7297888969007382,1983-01-01
1983-02-01,-0.7156813516760088,1983-02-01
1983-03-01,0.5042156788123637,1983-03-01
1983-04-01,0.34158403971674,1983-04-01
1983-05-01,0.23202182635751956,1983-05-01
1983-06-01,-1.8152777301859375,1983-06-01
