date,Feature 1,Feature 2,date
1960-04-01,0.06146403292236787,-0.03697775369498899,1960-04-01
1960-05-01,-0.6441033448717048,0.03473241618522276,1960-05-01
1960-06-01,1.9739319503683739,-0.8693374984030204,1960-06-01
1960-07-01,1.574709129478974,0.24689237416545864,1960-07-01
1960-08-01,1.0473804106186977,-0.27722803659394507,1960-08-01
1960-09-01,-0.054307567331140706,0.25254290884206076,1960-09-01
1960-10-01,-0.44084248946980353,-0.35783092269479155,1960-10-01
1960-11-01,-0.2056703175516278,-0.03711982619519408,1960-11-01
1960-12-01,0.9103908697042313,-0.26734479741509676,1960-12-01
1961-01-01,0.1741667308571955,-0.14965074175712348,1961-01-01
1961-02-01,-0.015831919508783453,0.39205510391446097,1961-02-01
1961-03-01,0.4540773116107371,-0.04249826053676599,1961-03-01
