date,Principal Component 1,Principal Component 2,Principal Component 3
1959-10-01,0.8700045750288922,0.026626343280810625,-0.4004806168473406
1959-11-01,0.009998402857072526,-0.00897388746414108,-0.024216387497673613
1959-12-01,-0.9207911211149792,0.06721079104503011,0.5171464690530062
1960-01-01,0.36247451018227067,-0.17424036247934802,-0.023245686007703204
1960-02-01,1.2168472043564773,-0.05528947166388295,-0.6656727273748054
1960-03-01,1.8329114366257986,-0.37659367962463974,-0.9426346064134115
1960-04-01,0.10387649322409266,-0.026359696500172964,0.0729235035456555
1960-05-01,-0.6017966296778763,0.04502975428630082,0.26241099545920293
1960-06-01,2.016634668715602,-0.8578161176105441,-1.1643046679033633
1960-07-01,1.6172566548339444,0.2581451056918496,-0.5822032165631799
1960-08-01,1.0899240652520372,-0.26616043849798526,-0.48706783532537756
