date,GS7
2001-04-01,5.03
2001-05-01,5.24
2001-06-01,5.14
2001-07-01,5.06
2001-08-01,4.84
2001-09-01,4.51
2001-10-01,4.31
2001-11-01,4.42
2001-12-01,4.86
2002-01-01,4.79
2002-02-01,4.71
2002-03-01,5.14
2002-04-01,5.02
2002-05-01,4.9
2002-06-01,4.6
2002-07-01,4.3
2002-08-01,3.88
2002-09-01,3.5
2002-10-01,3.54
2002-11-01,3.64
2002-12-01,3.63
2003-01-01,3.6
2003-02-01,3.45
2003-03-01,3.34
2003-04-01,3.47
2003-05-01,3.07
2003-06-01,2.84
2003-07-01,3.45
2003-08-01,3.96
2003-09-01,3.74
2003-10-01,3.75
2003-11-01,3.81
2003-12-01,3.79
2004-01-01,3.65
2004-02-01,3.59
2004-03-01,3.31
2004-04-01,3.89
2004-05-01,4.31
2004-06-01,4.35
2004-07-01,4.11
2004-08-01,3.9
2004-09-01,3.75
2004-10-01,3.75
2004-11-01,3.88
2004-12-01,3.93
2005-01-01,3.97
2005-02-01,3.97
2005-03-01,4.33
2005-04-01,4.16
2005-05-01,3.94
2005-06-01,3.86
2005-07-01,4.06
2005-08-01,4.18
2005-09-01,4.08
2005-10-01,4.38
2005-11-01,4.48
2005-12-01,4.41
2006-01-01,4.37
2006-02-01,4.56
2006-03-01,4.71
2006-04-01,4.94
2006-05-01,5.03
2006-06-01,5.08
2006-07-01,5.05
2006-08-01,4.83
2006-09-01,4.68
2006-10-01,4.69
2006-11-01,4.58
2006-12-01,4.54
2007-01-01,4.75
2007-02-01,4.71
2007-03-01,4.5
2007-04-01,4.62
2007-05-01,4.69
2007-06-01,5.05
2007-07-01,4.93
2007-08-01,4.53
2007-09-01,4.33
2007-10-01,4.33
2007-11-01,3.87
2007-12-01,3.74
2008-01-01,3.31
2008-02-01,3.21
2008-03-01,2.93
2008-04-01,3.19
2008-05-01,3.46
2008-06-01,3.73
2008-07-01,3.6
2008-08-01,3.46
2008-09-01,3.25
2008-10-01,3.19
2008-11-01,2.82
2008-12-01,1.89
2009-01-01,1.98
2009-02-01,2.3
2009-03-01,2.42
2009-04-01,2.47
2009-05-01,2.81
2009-06-01,3.37
2009-07-01,3.14
2009-08-01,3.21
2009-09-01,3.02
2009-10-01,2.96
2009-11-01,2.92
2009-12-01,3.07
2010-01-01,3.21
2010-02-01,3.12
2010-03-01,3.16
2010-04-01,3.28
2010-05-01,2.86
2010-06-01,2.66
2010-07-01,2.43
2010-08-01,2.1
2010-09-01,2.05
2010-10-01,1.85
2010-11-01,2.02
2010-12-01,2.66
2011-01-01,2.72
2011-02-01,2.96
2011-03-01,2.8
2011-04-01,2.84
2011-05-01,2.51
2011-06-01,2.29
2011-07-01,2.28
2011-08-01,1.63
2011-09-01,1.42
2011-10-01,1.62
2011-11-01,1.45
2011-12-01,1.43
2012-01-01,1.38
2012-02-01,1.37
2012-03-01,1.56
2012-04-01,1.43
2012-05-01,1.21
2012-06-01,1.08
2012-07-01,0.98
2012-08-01,1.14
2012-09-01,1.12
2012-10-01,1.15
2012-11-01,1.08
2012-12-01,1.13
2013-01-01,1.3
2013-02-01,1.35
2013-03-01,1.32
2013-04-01,1.15
2013-05-01,1.31
2013-06-01,1.71
2013-07-01,1.99
2013-08-01,2.15
2013-09-01,2.22
2013-10-01,1.99
2013-11-01,2.07
2013-12-01,2.29
2014-01-01,2.29
2014-02-01,2.15
2014-03-01,2.23
2014-04-01,2.27
2014-05-01,2.12
2014-06-01,2.19
2014-07-01,2.17
2014-08-01,2.08
2014-09-01,2.22
2014-10-01,1.98
2014-11-01,2.03
2014-12-01,1.98
2015-01-01,1.67
2015-02-01,1.79
2015-03-01,1.84
2015-04-01,1.69
2015-05-01,1.93
2015-06-01,2.1
2015-07-01,2.04
2015-08-01,1.91
2015-09-01,1.88
2015-10-01,1.76
2015-11-01,2.02
2015-12-01,2.04
2016-01-01,1.85
2016-02-01,1.53
2016-03-01,1.68
2016-04-01,1.57
2016-05-01,1.6
2016-06-01,1.44
2016-07-01,1.33
2016-08-01,1.4
2016-09-01,1.46
2016-10-01,1.56
2016-11-01,1.93
2016-12-01,2.29
2017-01-01,2.23
2017-02-01,2.22
2017-03-01,2.3
2017-04-01,2.1
2017-05-01,2.11
2017-06-01,2.01
2017-07-01,2.13
2017-08-01,2.03
2017-09-01,2.03
2017-10-01,2.2
2017-11-01,2.23
2017-12-01,2.32
2018-01-01,2.51
2018-02-01,2.78
2018-03-01,2.77
2018-04-01,2.82
2018-05-01,2.93
