date,GS1,GS1_CHG,GS2,GS2_CHG,GS3,GS3_CHG,GS5,GS5_CHG,GS7,GS7_CHG,GS10,GS10_CHG
1957-09-01,4.07,0.014962593516209655,,,4.06,0.00995024875621886,4.03,0.007500000000000062,,,3.92,-0.0025445292620865922
1957-10-01,4.01,-0.014742014742014864,,,4.09,0.007389162561576512,4.08,0.012406947890818865,,,3.97,0.012755102040816313
1957-11-01,3.57,-0.1097256857855361,,,3.7,-0.0953545232273838,3.72,-0.08823529411764708,,,3.72,-0.06297229219143574
1957-12-01,3.18,-0.10924369747899154,,,3.11,-0.1594594594594595,3.08,-0.17204301075268824,,,3.21,-0.1370967741935485
1958-01-01,2.65,-0.16666666666666674,,,2.78,-0.1061093247588425,2.88,-0.06493506493506496,,,3.09,-0.03738317757009346
1958-02-01,1.99,-0.24905660377358485,,,2.58,-0.07194244604316535,2.78,-0.03472222222222221,,,3.05,-0.012944983818770184
1958-03-01,1.84,-0.07537688442211055,,,2.4,-0.06976744186046513,2.64,-0.050359712230215736,,,2.98,-0.022950819672131084
1958-04-01,1.45,-0.2119565217391305,,,2.15,-0.10416666666666663,2.46,-0.06818181818181823,,,2.88,-0.033557046979865834
1958-05-01,1.37,-0.055172413793103336,,,2.07,-0.037209302325581395,2.41,-0.020325203252032464,,,2.92,0.01388888888888884
1958-06-01,1.23,-0.10218978102189791,,,2.08,0.004830917874396157,2.46,0.020746887966804906,,,2.97,0.017123287671233056
1958-07-01,1.61,0.30894308943089444,,,2.42,0.16346153846153832,2.77,0.1260162601626016,,,3.2,0.07744107744107742
1958-08-01,2.5,0.5527950310559004,,,3.06,0.2644628099173554,3.29,0.18772563176895307,,,3.54,0.10624999999999996
1958-09-01,3.05,0.21999999999999997,,,3.52,0.15032679738562083,3.69,0.12158054711246202,,,3.76,0.062146892655367214
1958-10-01,3.19,0.04590163934426239,,,3.67,0.04261363636363624,3.78,0.024390243902439046,,,3.8,0.010638297872340496
1958-11-01,3.1,-0.028213166144200552,,,3.6,-0.019073569482288777,3.7,-0.021164021164021052,,,3.74,-0.015789473684210464
1958-12-01,3.29,0.06129032258064515,,,3.72,0.03333333333333344,3.82,0.03243243243243232,,,3.86,0.03208556149732611
1959-01-01,3.36,0.02127659574468077,,,3.91,0.051075268817204256,4.01,0.04973821989528804,,,4.02,0.041450777202072464
1959-02-01,3.54,0.0535714285714286,,,3.92,0.002557544757033181,3.96,-0.012468827930174564,,,3.96,-0.01492537313432829
1959-03-01,3.61,0.0197740112994349,,,3.97,0.012755102040816313,3.99,0.007575757575757569,,,3.99,0.007575757575757569
