date,Principal Component 1
1967-06-01,-0.9757170509971488
1967-07-01,-0.8534928017254111
1967-08-01,-0.3685664291564389
1967-09-01,-0.23058848697678072
1967-10-01,-0.4786748133178624
1967-11-01,-0.7539159333904957
1967-12-01,0.16255138496043223
1968-01-01,0.8473880967745838
1968-02-01,-0.027082771170195908
1968-03-01,-0.5453716383697317
1968-04-01,0.291300584996453
1968-05-01,-1.0527912451365415
1968-06-01,0.7944179032152368
1968-07-01,1.0441087198768622
1968-08-01,0.5512359959376862
1968-09-01,0.10384869508574607
1968-10-01,-0.2937274943141107
1968-11-01,-0.28911799607041105
1968-12-01,-1.5019536544940348
1969-01-01,-0.1296716350024197
1969-02-01,-0.25273090128399595
1969-03-01,-0.08423890304910339
1969-04-01,0.5072458258381655
1969-05-01,-0.5488191062278026
